title,author,binding,isbn,publisher,publication_date,categories,url,length,width,height,sales_price,stock_quantity
24 HOURS IN ITALY (24 HOURS SERIES),"Moondi, Romi",Paperback,9781990000000.0,Wattpad Books,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781990778360B/24-hours-in-italy-24-hours-series,8.19,5.27,1.09,1.5,72
"ABOUT A ROGUE (DESPERATELY SEEKING DUKE, BK. 1)","Linden, Caroline",Pocket Books,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780062913623B/about-a-rogue-desperately-seeking-duke-bk-1,6.63,4.23,1.16,1.25,17
THE ACCIDENTAL QUEEN,"Jackson, L. R.",Paperback,9781740000000.0,Black Odyssey Media,,"['Fiction', 'Romance', 'Fiction', 'African American']",https://www.bookdepot.com/Store/Details/9781735443195B/the-accidental-queen,8.19,5.48,0.89,3.0,82
ACTS OF LOVE AND WAR,"Brookes, Maggie",Paperback,9780740000000.0,Viking Books,,"['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780735246072B/acts-of-love-and-war,8.14,5.44,1.32,1.5,88
ADVIKA AND THE HOLLYWOOD WIVES,"Ramisetti, Kirthana",Hardcover,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538709276B/advika-and-the-hollywood-wives,9.27,6.29,1.36,3.75,263
ADVIKA AND THE HOLLYWOOD WIVES,"Ramisetti, Kirthana",Paperback,9781540000000.0,Grand Central Publishing,,"['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9781538709283B/advika-and-the-hollywood-wives,7.99,5.23,1.16,3.25,100
THE AFFAIR (LARGE PRINT),"Steel, Danielle",Paperback,9780590000000.0,Random House,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780593395547B/the-affair-large-print,9.17,6.22,1.06,5.25,331
THE AFFAIR,"Steel, Danielle",Hardcover,9781980000000.0,Delacorte Press,,"['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781984821409B/the-affair,9.55,6.28,1.13,1.88,685
AFTER ALL (ROMANCING MANHATTAN),"Proby, Kristen",Paperback,9780060000000.0,Avon Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780062892683B/after-all-romancing-manhattan,8.0,5.27,0.75,2.25,133
"AFTER EVER HAPPY (AFTER, BK. 4)","Todd, Anna",Paperback,9781500000000.0,Gallery Books,,"['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781501106408B/after-ever-happy-after-bk-4,8.26,5.28,1.29,1.38,632
