title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories,url
24 HOURS IN ITALY (24 HOURS SERIES),"Moondi, Romi",Paperback,$17.99 ,$1.50 ,72,9.78199E+12,Wattpad Books,7/18/23,"8.19"" l x 5.27"" w x 1.09""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9781990778360B/24-hours-in-italy-24-hours-series
"ABOUT A ROGUE (DESPERATELY SEEKING DUKE, BK. 1)","Linden, Caroline",Pocket Books,$7.99 ,$1.25 ,17,9.78006E+12,Avon Books,6/30/20,"6.63"" l x 4.23"" w x 1.16""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780062913623B/about-a-rogue-desperately-seeking-duke-bk-1
THE ACCIDENTAL QUEEN,"Jackson, L. R.",Paperback,$16.95 ,$3.00 ,82,9.78174E+12,Black Odyssey Media,4/25/23,"8.19"" l x 5.48"" w x 0.89""","['Fiction', 'Romance', 'Fiction', 'African American']",https://www.bookdepot.com/Store/Details/9781735443195B/the-accidental-queen
ACTS OF LOVE AND WAR,"Brookes, Maggie",Paperback,$18.00 ,$1.50 ,88,9.78074E+12,Viking Books,8/23/22,"8.14"" l x 5.44"" w x 1.32""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780735246072B/acts-of-love-and-war
ADVIKA AND THE HOLLYWOOD WIVES,"Ramisetti, Kirthana",Hardcover,$29.00 ,$3.75 ,263,9.78154E+12,Grand Central Publishing,4/11/23,"9.27"" l x 6.29"" w x 1.36""","['Fiction', 'Family Life', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781538709276B/advika-and-the-hollywood-wives
ADVIKA AND THE HOLLYWOOD WIVES,"Ramisetti, Kirthana",Paperback,$18.99 ,$3.25 ,100,9.78154E+12,Grand Central Publishing,1/23/24,"7.99"" l x 5.23"" w x 1.16""","['Fiction', 'Family Life', 'Fiction', 'Romance', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9781538709283B/advika-and-the-hollywood-wives
THE AFFAIR (LARGE PRINT),"Steel, Danielle",Paperback,$31.00 ,$5.25 ,331,9.78059E+12,Random House,3/2/21,"9.17"" l x 6.22"" w x 1.06""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780593395547B/the-affair-large-print
THE AFFAIR,"Steel, Danielle",Hardcover,$28.99 ,$1.88 ,685,9.78198E+12,Delacorte Press,3/2/21,"9.55"" l x 6.28"" w x 1.13""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9781984821409B/the-affair
AFTER ALL (ROMANCING MANHATTAN),"Proby, Kristen",Paperback,$16.99 ,$2.25 ,133,9.78006E+12,Avon Books,7/14/20,"8.00"" l x 5.27"" w x 0.75""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780062892683B/after-all-romancing-manhattan
"AFTER EVER HAPPY (AFTER, BK. 4)","Todd, Anna",Paperback,$16.00 ,$1.38 ,632,9.7815E+12,Gallery Books,2/24/15,"8.26"" l x 5.28"" w x 1.29""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781501106408B/after-ever-happy-after-bk-4
AFTER SHE FALLS,"Schober, Carmen",Paperback,$15.99 ,$1.75 ,43,9.78076E+12,Bethany House,11/2/21,"8.46"" l x 5.63"" w x 1.02""","['Fiction', 'Religious', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764239298B/after-she-falls
"AFTER THE BITE (ARGENEAU NOVEL, BK. 35 - LARGE PRINT)","Sands, Lynsay",Paperback,$24.99 ,$3.19 ,60,9.78006E+12,HarperLuxe,9/27/22,"9.06"" l x 6.08"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Thrillers']",https://www.bookdepot.com/Store/Details/9780063097520B/after-the-bite-argeneau-novel-bk-35---large-p
"AFTER THE BITE (ARGENEAU, BK. 35)","Sands, Lynsay",Pocket Books,$9.99 ,$1.75 ,767,9.78006E+12,Avon Books,9/27/22,"6.57"" l x 4.14"" w x 1.17""","['Fiction', 'Romance', 'Fiction', 'Occult', 'Fiction', 'Thrillers']",https://www.bookdepot.com/Store/Details/9780063111554B/after-the-bite-argeneau-bk-35
"AGAINST THE WIND (SECRETS OF SWEETWATER CROSSING, BK. 2)","Cabot, Amanda",Paperback,$16.99 ,$3.00 ,58,9.7808E+12,Revell,10/3/23,"8.47"" l x 5.50"" w x 1.16""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780800740658B/against-the-wind-secrets-of-sweetwater-crossi
AIMING FOR LOVE (BRIDES OF HOPE MOUNTAIN BK. 1),"Connealy, Mary",Paperback,$14.99 ,$2.50 ,2,9.78076E+12,Bethany House,10/1/19,"8.50"" l x 6.00"" w x 1.00""","['Fiction', 'Historical', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9780764232589B/aiming-for-love-brides-of-hope-mountain-bk-1
ALL I WANT FOR CHRISTMAS,"Knox, Maggie",Paperback,$14.84 ,$2.37 ,67,9.78074E+12,Viking Books,10/4/22,"7.98"" l x 5.23"" w x 0.92""","['Fiction', 'Romance', 'Fiction', 'Holidays']",https://www.bookdepot.com/Store/Details/9780735241121B/all-i-want-for-christmas
ALL I WANT FROM SANTA,"Jackson, Lisa",Pocket Books,$9.99 ,$2.50 ,35,9.78142E+12,Zebra Books,9/26/23,"7.51"" l x 4.11"" w x 0.82""","['Fiction', 'Holidays', 'Fiction', 'Romance']",https://www.bookdepot.com/Store/Details/9781420152937B/all-i-want-from-santa
ALL IT TAKES (A ROMANCING MANHATTAN NOVEL),"Proby, Kristen",Paperback,$15.99 ,$2.75 ,1,9.78006E+12,Avon Books,7/30/19,"9.25"" l x 4.87"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9780062892676B/all-it-takes-a-romancing-manhattan-novel
ALL ROADS LEAD HOME: TWO GREAT NOVELS IN ONE (A FRIEND OR TWO/REFLECTIONS OF YESTERDAY),"Macomber, Debbie",Pocket Books,$9.99 ,$2.50 ,117,9.78059E+12,Ballantine Books,6/27/23,"6.83"" l x 4.11"" w x 1.36""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]",https://www.bookdepot.com/Store/Details/9780593359822B/all-roads-lead-home-two-great-novels-in-one-a
ALL THAT GLITTERS,"Steel, Danielle",Hardcover,$28.99 ,$1.88 ,197,9.7804E+12,Delacorte Press,11/17/20,"8.86"" l x 6.09"" w x 1.13""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Family Life']",https://www.bookdepot.com/Store/Details/9780399179686B/all-that-glitters
"ALL THAT WE ARE TOGETHER (LET IT BE, BK. 2)","Kellen, Alice",Paperback,$17.99 ,$3.00 ,245,9.78173E+12,Sourcebooks,1/23/24,"8.22"" l x 5.49"" w x 1.32""","['Fiction', 'Romance', 'Fiction', 'Contemporary']",https://www.bookdepot.com/Store/Details/9781728283791B/all-that-we-are-together-let-it-be-bk-2
"ALL THE COLORS OF NIGHT (FOGG LAKE, BK. 2)","Krentz, Jayne Ann",Pocket Books,$8.99 ,$1.50 ,62,9.78198E+12,Berkley Publishing Group,11/30/21,"6.72"" l x 4.18"" w x 1.52""","['Fiction', 'Romance', 'Fiction', 'Thrillers', 'Fiction', 'Suspense']",https://www.bookdepot.com/Store/Details/9781984806826B/all-the-colors-of-night-fogg-lake-bk-2
ALL THE RIGHT NOTES,"Lim, Dominic",Paperback,$17.99 ,$3.00 ,70,9.78154E+12,Forever,6/6/23,"7.94"" l x 5.17"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538725382B/all-the-right-notes
"ALMOST HEAVEN (THE SEQUELS SERIES, BK. 3)","McNaught, Judith",Paperback,$9.99 ,$1.31 ,77,9.78198E+12,Pocket Books,8/23/22,"6.80"" l x 4.68"" w x 2.00""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9781982199944B/almost-heaven-the-sequels-series-bk-3
ALMOST HOME,"Macomber, Debbie",Paperback,$16.95 ,$3.00 ,7,9.7815E+12,Kensington Publishing Corporation,2/21/23,"8.19"" l x 5.46"" w x 1.31""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Anthologies (multiple authors)']",https://www.bookdepot.com/Store/Details/9781496745453B/almost-home
"ALONG CAME A LADY (ALL THE DUKE'S SINS, BK. 1)","Caldwell, Christi",Pocket Books,$7.99 ,$1.00 ,40,9.78059E+12,Berkley Publishing Group,8/31/21,"6.77"" l x 4.19"" w x 1.00""","['Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780593334911B/along-came-a-lady-all-the-dukes-sins-bk-1
ALONG THE RIO GRANDE (LOVE ON THE SANTA FE),"Peterson, Tracie",Paperback,$16.99 ,$3.00 ,36,9.78076E+12,Bethany House,3/1/22,"8.49"" l x 5.52"" w x 1.10""","['Fiction', 'Historical', 'Fiction', 'Romance', 'Fiction', 'Religious']",https://www.bookdepot.com/Store/Details/9780764237294B/along-the-rio-grande-love-on-the-santa-fe
"ALONG THE RIO GRANDE (LOVE ON THE SANTA FE, BK. 1)","Peterson, Tracie",Hardcover,$24.99 ,$2.44 ,1,9.78076E+12,Bethany House,3/1/22,"8.85"" l x 5.80"" w x 1.24""","['Fiction', 'Religious', 'Fiction', 'Romance', 'Fiction', 'Historical']",https://www.bookdepot.com/Store/Details/9780764237300B/along-the-rio-grande-love-on-the-santa-fe-bk
"ALPHA NIGHT (PSY-CHANGELING TRINITY, BK. 4)","Singh, Nalini",Hardcover,$27.00 ,$2.63 ,12,9.78198E+12,Berkley Hardcover,6/9/20,"9.35"" l x 6.20"" w x 1.33""","['Fiction', 'Romance', 'Fiction', 'Fantasy']",https://www.bookdepot.com/Store/Details/9781984803627B/alpha-night-psy-changeling-trinity-bk-4
"ALWAYS BE MY DUCHESS (TAMING OF THE DUKES, BK. 1)","Howard, Amalie",Paperback,$15.99 ,$2.75 ,14,9.78154E+12,Forever,7/12/22,"7.98"" l x 5.26"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', 'Humorous']",https://www.bookdepot.com/Store/Details/9781538737712B/always-be-my-duchess-taming-of-the-dukes-bk-1
