inventory_item_id,location_id,available,updated_at,admin_graphql_api_id,product_id,product_title,variant_id,variant_title,variant_sku,variant_price,location_name,location_address1,location_city,location_country,sku,cost,country_code_of_origin,province_code_of_origin,harmonized_system_code,tracked
41588620525733,61565862053,0.0,2022-03-24T03:01:30-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41588620525733,6607648096421,The Rakess,39494379929765,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,3.99,US,,,True
41596688335013,61565862053,3.0,2021-03-29T08:27:18-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41596688335013,6610116903077,"Love, Unscripted",39502448918693,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41596889268389,61565862053,2.0,2024-01-15T13:32:06-08:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41596889268389,6610168676517,Leopard's Run,39502649852069,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41598104371365,61565862053,23.0,2021-03-29T12:09:52-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41598104371365,6610520735909,The Taken: Celestial Blues,39503854895269,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41598112530597,61565862053,8.0,2021-03-29T12:12:09-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41598112530597,6610524897445,Kiss of Pride: A Deadly Angels Book,39503863054501,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41598227972261,61565862053,1.0,2023-01-21T10:58:03-08:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41598227972261,6610594726053,Order of Protection,39503978496165,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41598362648741,61565862053,0.0,2024-04-04T22:57:15-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41598362648741,6610674188453,The Honey Don't List,39504113172645,Default Title,,5.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,2.00,US,,,True
41653927641253,61565862053,1.0,2021-11-13T08:54:19-08:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=41653927641253,6627938238629,Bubbles and Books Custom Mug,39559652638885,Default Title,,10.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,4.50,US,,,True
42910293852325,61565862053,,2024-01-07T17:36:47-08:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910293852325,7016233533605,Contemporary Romance: Premium Box,40814030323877,Default Title,,49.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,22.00,,,,False
42910487576741,61565862053,,2024-07-29T21:09:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910487576741,7025940856997,Paranormal Romance: Standard Box,40814224048293,Default Title,,34.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,17.00,,,,False
42910487707813,61565862053,,2024-07-29T21:09:11-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910487707813,7025954291877,Historical Romance: Standard Box,40814224179365,Default Title,,34.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,17.00,,,,False
42910487806117,61565862053,46.0,2024-07-29T21:09:06-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910487806117,7025968480421,Mystery & Thrillers: Standard Box,40814224277669,Default Title,,34.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,17.00,US,,,True
42849834893477,61565862053,20.0,2024-04-24T22:56:25-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42849834893477,7027758694565,Contemporary Romance: Standard Box,40753640439973,Default Title,,34.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,18.00,,,,True
42902235578533,61565862053,19.0,2024-07-27T13:00:47-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902235578533,7043922165925,3 Months - Standard Subscriptions,40805982765221,Contemporary Romance,,98.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902235611301,61565862053,16.0,2024-06-29T09:23:05-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902235611301,7043922165925,3 Months - Standard Subscriptions,40805982797989,Paranormal Romance,,98.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902235644069,61565862053,10.0,2024-04-22T09:22:55-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902235644069,7043922165925,3 Months - Standard Subscriptions,40805982830757,Historical Romance,,98.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902277423269,61565862053,28.0,2024-07-09T10:20:20-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902277423269,7043922165925,3 Months - Standard Subscriptions,40806024544421,Mystery & Thrillers,,98.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
45772150046885,61565862053,10.0,2024-05-07T16:53:40-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150046885,7043922165925,3 Months - Standard Subscriptions,43670773301413,Surprise Box,,98.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,55.00,US,,,True
42902321954981,61565862053,20.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902321954981,7043989831845,6 Months - Standard Subscriptions,40806069010597,Contemporary Romance,,185.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902321987749,61565862053,20.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902321987749,7043989831845,6 Months - Standard Subscriptions,40806069043365,Paranormal Romance,,185.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902322020517,61565862053,11.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902322020517,7043989831845,6 Months - Standard Subscriptions,40806069076133,Historical Romance,,185.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902322053285,61565862053,24.0,2024-07-10T09:23:50-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902322053285,7043989831845,6 Months - Standard Subscriptions,40806069108901,Mystery & Thrillers,,185.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
45772150603941,61565862053,5.0,2024-05-07T16:55:15-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150603941,7043989831845,6 Months - Standard Subscriptions,43670773858469,Surprise Box,,185.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902352756901,61565862053,20.0,2024-04-01T22:13:11-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902352756901,7043996975269,12 Months - Standard Subscriptions,40806100172965,Contemporary Romance,,357.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902352789669,61565862053,20.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902352789669,7043996975269,12 Months - Standard Subscriptions,40806100271269,Paranormal Romance,,357.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902352822437,61565862053,11.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902352822437,7043996975269,12 Months - Standard Subscriptions,40806100336805,Historical Romance,,357.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42902352887973,61565862053,30.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42902352887973,7043996975269,12 Months - Standard Subscriptions,40806100402341,Mystery & Thrillers,,357.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
45772150407333,61565862053,5.0,2024-05-07T16:54:41-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150407333,7043996975269,12 Months - Standard Subscriptions,43670773661861,Surprise Box,,357.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42910357225637,61565862053,50.0,2024-04-24T22:58:26-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910357225637,7046779797669,Historical Romance: Premium Box,40814093697189,Default Title,,49.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,22.00,,,,True
42910376689829,61565862053,49.0,2024-04-25T22:50:05-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42910376689829,7046786318501,Mystery & Thrillers: Premium Box,40814113161381,Default Title,,49.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,22.00,,,,True
42960245031077,61565862053,10.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960245031077,7061908160677,6 Months - Premium,40863915835557,Contemporary Romance,,258.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960245063845,61565862053,5.0,2024-04-01T22:13:10-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960245063845,7061908160677,6 Months - Premium,40863915868325,Paranormal Romance,,258.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960245096613,61565862053,5.0,2024-04-01T22:13:11-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960245096613,7061908160677,6 Months - Premium,40863915901093,Historical Romance,,258.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960245129381,61565862053,5.0,2024-08-03T10:46:25-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960245129381,7061908160677,6 Months - Premium,40863915933861,Mystery & Thrillers,,258.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
45772150571173,61565862053,5.0,2024-05-07T16:55:05-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150571173,7061908160677,6 Months - Premium,43670773825701,Surprise Box,,258.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960881451173,61565862053,1.0,2024-07-17T09:24:25-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960881451173,7062035857573,12 Months - Premium,40864552124581,Contemporary Romance,,501.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960881483941,61565862053,10.0,2024-04-01T22:13:13-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960881483941,7062035857573,12 Months - Premium,40864552157349,Paranormal Romance,,501.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,US,,,True
42960881516709,61565862053,0.0,2024-08-08T09:31:46-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960881516709,7062035857573,12 Months - Premium,40864552190117,Historical Romance,,501.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
42960881549477,61565862053,4.0,2024-08-02T09:36:51-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960881549477,7062035857573,12 Months - Premium,40864552222885,Mystery & Thrillers,,501.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
45772150374565,61565862053,5.0,2024-05-07T16:54:30-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150374565,7062035857573,12 Months - Premium,43670773629093,Surprise Box,,501.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
42960917168293,61565862053,5.0,2024-07-13T09:26:40-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960917168293,7062039920805,3 Months - Premium,40864587874469,Contemporary Romance,,134.00,,,,,,,US,,,True
42960917233829,61565862053,4.0,2024-05-11T22:37:25-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960917233829,7062039920805,3 Months - Premium,40864587907237,Paranormal Romance,,134.00,,,,,,,US,,,True
42960917266597,61565862053,5.0,2024-04-01T22:13:11-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960917266597,7062039920805,3 Months - Premium,40864587940005,Historical Romance,,134.00,,,,,,,US,,,True
42960917299365,61565862053,5.0,2024-07-28T21:08:45-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=42960917299365,7062039920805,3 Months - Premium,40864587972773,Mystery & Thrillers,,134.00,,,,,,,,,,
45772150440101,61565862053,5.0,2024-05-07T16:54:56-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=45772150440101,7062039920805,3 Months - Premium,43670773694629,Surprise Box,,134.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
43014361055397,61565862053,50.0,2024-04-24T22:59:45-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43014361055397,7078955843749,Paranormal Romance: Premium Box,40917921333413,Default Title,,49.99,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
43040745750693,61565862053,10.0,2023-10-04T04:04:50-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43040745750693,7088888479909,12 Days of Self Care Countdown Box,40944272965797,Contemporary Romance,,85.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
43040745783461,61565862053,10.0,2023-10-04T04:04:50-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43040745783461,7088888479909,12 Days of Self Care Countdown Box,40944272998565,Historical Romance,,85.00,,,,,,36.00,,,,True
43040745816229,61565862053,10.0,2023-10-04T04:04:51-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43040745816229,7088888479909,12 Days of Self Care Countdown Box,40944273031333,Paranormal Romance,,85.00,,,,,,36.00,,,,True
43040745848997,61565862053,8.0,2023-11-15T17:13:20-08:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43040745848997,7088888479909,12 Days of Self Care Countdown Box,40944273064101,Mystery & Thrillers,,85.00,,,,,,36.00,,,,True
43123948748965,61565862053,5.0,2023-10-31T06:58:56-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43123948748965,7129627066533,Trick or Read,41027175973029,Contemporary Romance,,38.00,,,,,,,,,,
43123948781733,61565862053,5.0,2023-10-31T06:58:55-07:00,gid://shopify/InventoryLevel/95878938789?inventory_item_id=43123948781733,7129627066533,Trick or Read,41027176005797,Historical Romance,,38.00,Bubbles and Books LLC,Bubbles and Books LLC,San Francisco,US,,,,,,
