id,order_number,total_price,created_at,financial_status,fulfillment_status,customer_email,total_discounts,total_line_items_price,total_tax,total_weight,currency
4146706710693,1001,4.86,2021-10-13T07:23:50-07:00,paid,fulfilled,N/A,4.00,4.50,0.36,54,USD
4148578648229,1002,219.00,2021-10-14T07:03:25-07:00,paid,fulfilled,N/A,0.00,189.00,0.00,0,USD
4149964406949,1003,85.00,2021-10-14T17:31:13-07:00,paid,fulfilled,N/A,0.00,85.00,0.00,0,USD
4152108155045,1004,39.99,2021-10-15T11:41:50-07:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4152553177253,1005,15.00,2021-10-15T14:40:37-07:00,paid,fulfilled,N/A,8.50,15.00,0.00,595,USD
4163466920101,1006,39.99,2021-10-21T18:20:31-07:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4169441444005,1007,54.99,2021-10-25T09:32:53-07:00,paid,fulfilled,N/A,0.00,46.99,0.00,0,USD
4174614921381,1008,54.99,2021-10-28T16:40:14-07:00,paid,fulfilled,N/A,0.00,46.99,0.00,0,USD
4175060959397,1009,53.00,2021-10-29T01:38:40-07:00,paid,fulfilled,N/A,0.00,38.00,0.00,0,USD
4175328510117,1010,49.99,2021-10-29T05:58:59-07:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4176597876901,1011,76.00,2021-10-29T19:46:43-07:00,paid,fulfilled,N/A,0.00,76.00,0.00,0,USD
4176656597157,1012,38.00,2021-10-29T20:54:53-07:00,paid,fulfilled,N/A,0.00,38.00,0.00,0,USD
4178269569189,1013,34.00,2021-10-30T20:06:19-07:00,paid,fulfilled,N/A,0.00,29.00,0.00,0,USD
4180225130661,1014,50.49,2021-11-01T09:33:34-07:00,paid,fulfilled,N/A,5.00,47.49,0.00,0,USD
4181175730341,1015,54.97,2021-11-02T06:25:39-07:00,paid,fulfilled,N/A,5.00,47.49,4.48,0,USD
4182785032357,1016,55.49,2021-11-03T14:02:20-07:00,paid,fulfilled,N/A,0.00,47.49,0.00,0,USD
4182921347237,1017,39.99,2021-11-03T16:48:01-07:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4183823351973,1018,38.24,2021-11-04T11:11:57-07:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4184119214245,1019,38.24,2021-11-04T15:54:25-07:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4184351244453,1020,85.00,2021-11-04T20:29:54-07:00,paid,fulfilled,N/A,0.00,85.00,0.00,0,USD
4184357011621,1021,39.99,2021-11-04T20:39:07-07:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4187653439653,1022,39.99,2021-11-07T12:55:28-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4187759181989,1023,90.75,2021-11-07T14:41:46-08:00,paid,fulfilled,N/A,25.25,101.00,0.00,0,USD
4188073492645,1024,34.00,2021-11-07T21:54:17-08:00,paid,fulfilled,N/A,0.00,29.00,0.00,0,USD
4193073234085,1025,11.00,2021-11-11T19:31:47-08:00,paid,fulfilled,N/A,4.00,11.00,0.00,260,USD
4194191016101,1026,57.99,2021-11-12T15:31:32-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4194341388453,1027,39.99,2021-11-12T18:19:12-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4194904899749,1028,27.00,2021-11-13T08:45:29-08:00,paid,fulfilled,N/A,14.00,27.00,0.00,566,USD
4194913452197,1029,19.50,2021-11-13T08:54:05-08:00,paid,fulfilled,N/A,9.00,19.50,0.00,209,USD
4194922332325,1030,0.00,2021-11-13T09:01:28-08:00,paid,fulfilled,N/A,0.00,0.00,0.00,0,USD
4195103506597,1031,83.99,2021-11-13T12:01:45-08:00,paid,fulfilled,N/A,0.00,63.99,0.00,124,USD
4198608470181,1032,116.00,2021-11-16T15:37:07-08:00,paid,fulfilled,N/A,0.00,101.00,0.00,0,USD
4199738146981,1033,48.24,2021-11-17T15:52:56-08:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4199741718693,1034,85.00,2021-11-17T15:57:05-08:00,paid,fulfilled,N/A,0.00,85.00,0.00,0,USD
4200483979429,1035,125.00,2021-11-18T09:08:11-08:00,paid,fulfilled,N/A,0.00,101.00,0.00,0,USD
4202029220005,1036,32.55,2021-11-19T13:12:58-08:00,paid,fulfilled,N/A,0.00,27.55,0.00,0,USD
4202289496229,1037,38.24,2021-11-19T18:08:27-08:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4202784915621,1038,27.50,2021-11-20T06:31:58-08:00,paid,fulfilled,N/A,0.00,19.00,0.00,446,USD
4203556012197,1039,70.30,2021-11-20T20:08:29-08:00,paid,fulfilled,N/A,20.70,78.00,0.00,1855,USD
4205170819237,1040,19.99,2021-11-22T07:47:23-08:00,paid,fulfilled,N/A,33.24,33.24,0.00,0,USD
4205185663141,1041,21.00,2021-11-22T08:04:28-08:00,paid,fulfilled,N/A,4.00,12.00,0.00,2993,USD
4206925545637,1042,8.00,2021-11-23T16:25:12-08:00,paid,fulfilled,N/A,47.49,47.49,0.00,0,USD
4209130799269,1043,32.00,2021-11-25T08:54:29-08:00,paid,fulfilled,N/A,0.00,23.50,0.00,453,USD
4209186439333,1044,39.99,2021-11-25T09:38:42-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4210594316453,1045,7.00,2021-11-26T05:30:26-08:00,paid,fulfilled,N/A,0.00,3.00,0.00,62,USD
4210659262629,1046,13.50,2021-11-26T06:03:14-08:00,paid,fulfilled,N/A,0.00,9.50,0.00,255,USD
4210870911141,1047,8.50,2021-11-26T07:38:07-08:00,paid,fulfilled,N/A,0.00,4.50,0.00,54,USD
4212056588453,1048,39.99,2021-11-26T16:20:42-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4212159807653,1049,39.99,2021-11-26T17:33:32-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4212258963621,1050,38.00,2021-11-26T18:44:51-08:00,paid,fulfilled,N/A,0.00,38.00,0.00,0,USD
4213575712933,1051,57.49,2021-11-27T12:54:14-08:00,paid,fulfilled,N/A,0.00,49.49,0.00,0,USD
4215589011621,1052,8.64,2021-11-28T12:35:52-08:00,paid,fulfilled,N/A,0.00,4.00,0.64,62,USD
4216928370853,1053,475.00,2021-11-29T08:16:57-08:00,paid,fulfilled,N/A,0.00,415.00,0.00,0,USD
4217302843557,1054,38.00,2021-11-29T11:49:18-08:00,paid,fulfilled,N/A,0.00,38.00,0.00,0,USD
4217966526629,1055,74.98,2021-11-29T18:28:33-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4218651410597,1056,39.99,2021-11-30T05:44:29-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4218946650277,1057,2.70,2021-11-30T09:46:20-08:00,paid,fulfilled,N/A,4.00,2.50,0.20,62,USD
4219459502245,1058,34.00,2021-11-30T17:03:16-08:00,paid,fulfilled,N/A,0.00,29.00,0.00,0,USD
4220003123365,1059,4.32,2021-12-01T04:19:36-08:00,paid,fulfilled,N/A,2.50,2.50,0.32,62,USD
4225751122085,1060,29.00,2021-12-03T06:38:40-08:00,paid,fulfilled,N/A,5.00,29.00,0.00,0,USD
4225776255141,1061,57.99,2021-12-03T07:00:30-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4226060714149,1062,39.99,2021-12-03T10:55:50-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4227573645477,1063,39.99,2021-12-04T14:34:24-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4229038538917,1064,28.24,2021-12-05T19:00:46-08:00,paid,fulfilled,N/A,10.00,33.24,0.00,0,USD
4230009159845,1065,39.99,2021-12-06T13:48:09-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4230268453029,1066,57.99,2021-12-06T17:29:44-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4230337691813,1067,39.99,2021-12-06T18:57:54-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4230957269157,1068,0.00,2021-12-07T09:01:55-08:00,paid,fulfilled,N/A,0.00,0.00,0.00,0,USD
4232074133669,1069,55.49,2021-12-08T07:38:09-08:00,paid,fulfilled,N/A,0.00,47.49,0.00,0,USD
4232318484645,1070,69.98,2021-12-08T11:24:31-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4232595505317,1071,57.99,2021-12-08T16:02:33-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4233176776869,1072,85.00,2021-12-09T05:45:58-08:00,paid,fulfilled,N/A,0.00,85.00,0.00,0,USD
4233621635237,1073,13.50,2021-12-09T12:05:33-08:00,paid,fulfilled,N/A,4.00,13.50,0.00,17,USD
4234095296677,1074,38.24,2021-12-09T16:46:39-08:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4234923868325,1075,63.14,2021-12-10T07:53:13-08:00,paid,fulfilled,N/A,0.00,49.99,5.15,0,USD
4234941169829,1076,55.49,2021-12-10T08:08:21-08:00,paid,fulfilled,N/A,0.00,47.49,0.00,0,USD
4234941628581,1077,60.42,2021-12-10T08:08:32-08:00,paid,fulfilled,N/A,0.00,47.49,4.93,0,USD
4234942054565,1078,55.49,2021-12-10T08:08:42-08:00,paid,fulfilled,N/A,0.00,47.49,0.00,0,USD
4234942382245,1079,39.99,2021-12-10T08:08:59-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4234942480549,1080,38.24,2021-12-10T08:09:10-08:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4235240210597,1081,34.75,2021-12-10T12:09:51-08:00,paid,fulfilled,N/A,5.24,34.99,0.00,0,USD
4235458347173,1082,48.24,2021-12-10T15:39:18-08:00,paid,fulfilled,N/A,0.00,33.24,0.00,0,USD
4235525947557,1083,53.00,2021-12-10T17:05:02-08:00,paid,fulfilled,N/A,0.00,38.00,0.00,0,USD
4235777409189,1084,39.99,2021-12-10T22:47:47-08:00,paid,fulfilled,N/A,0.00,34.99,0.00,0,USD
4236677709989,1085,57.99,2021-12-11T15:41:00-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
4236900040869,1086,57.99,2021-12-11T21:05:00-08:00,paid,fulfilled,N/A,0.00,49.99,0.00,0,USD
