cover,title,author,binding,list_price,price,stock,isbn,publisher,publication_date,size,categories
https://images.bookdepot.com/covers/large/isbn978199/9781990778360-l.jpg,24 HOURS IN ITALY (24 HOURS SERIES),"Moondi, Romi",Paperback,$17.99,$3.00 $1.50,502,9781990778360,Wattpad Books,N/A,"8.19"" l x 5.27"" w x 1.09""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978006/9780062958792-l.jpg,25 DAYS 'TIL CHRISTMAS,"Alexander, Poppy",Paperback,$15.99,$2.75,3,9780062958792,William Morrow & Company,N/A,"8.19"" l x 4.92"" w x 1.07""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978006/9780062913623-l.jpg,"ABOUT A ROGUE (DESPERATELY SEEKING DUKE, BK. 1)","Linden, Caroline",Pocket Books,$7.99,$2.00 $1.25,15,9780062913623,Avon Books,N/A,"6.63"" l x 4.23"" w x 1.16""","['Fiction', 'Romance', 'Fiction', 'Historical']"
https://images.bookdepot.com/covers/large/isbn978006/9780062349323-l.jpg,ABOVE THE WATERFALL,"Rash, Ron",Paperback,$19.99,$3.50,5,9780062349323,Ecco,N/A,"8.04"" l x 5.22"" w x 0.67""","['Fiction', 'Literary', 'Fiction', 'Romance', 'Fiction', 'General']"
https://images.bookdepot.com/covers/large/isbn978059/9780593439630-l.jpg,"THE ACCIDENTAL NEWLYWED GAME (BOOTS AND BOUQUETS, BK. 3)","Burton, Jaci",Pocket Books,$8.99,$2.25 $1.69,27,9780593439630,Berkley Publishing Group,N/A,"6.74"" l x 4.08"" w x 1.06""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978173/9781735443195-l.jpg,THE ACCIDENTAL QUEEN,"Jackson, L. R.",Paperback,$16.95,$3.00,93,9781735443195,Black Odyssey Media,N/A,"8.19"" l x 5.48"" w x 0.89""","['Fiction', 'Romance', 'Fiction', 'African American']"
https://images.bookdepot.com/covers/large/isbn978164/9781649373458-l.jpg,"ACCIDENTALLY FAMOUS (HIDEAWAY HARBOR, BK. 2)","Clarke, Marissa",Pocket Books,$8.99,$2.25,104,9781649373458,"Entangled Publishing, LLC",N/A,"6.72"" l x 4.30"" w x 1.15""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978073/9780735246072-l.jpg,ACTS OF LOVE AND WAR,"Brookes, Maggie",Paperback,$18.00,$3.00 $1.50,111,9780735246072,Viking Books,N/A,"8.14"" l x 5.44"" w x 1.32""","['Fiction', 'Romance', 'Fiction', 'Historical', 'Fiction', ""Women's Fiction""]"
https://images.bookdepot.com/covers/large/isbn978198/9781984821409-l.jpg,THE AFFAIR,"Steel, Danielle",Hardcover,$28.99,$3.75 $1.88,1000+,9781984821409,Delacorte Press,N/A,"9.55"" l x 6.28"" w x 1.13""","['Fiction', 'Contemporary', 'Fiction', 'Romance', 'Fiction', 'Family Life']"
https://images.bookdepot.com/covers/large/isbn978006/9780062892683-l.jpg,AFTER ALL (ROMANCING MANHATTAN),"Proby, Kristen",Paperback,$16.99,$3.00 $2.25,118,9780062892683,Avon Books,N/A,"8.00"" l x 5.27"" w x 0.75""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978150/9781501106408-l.jpg,"AFTER EVER HAPPY (AFTER, BK. 4)","Todd, Anna",Paperback,$16.00,$2.75 $1.38,953,9781501106408,Gallery Books,N/A,"8.26"" l x 5.28"" w x 1.29""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978006/9780062422033-l.jpg,AFTER SUNDOWN,"Howard, Linda",Paperback,$9.99,$1.75 $1.25,1000+,9780062422033,Avon Books,N/A,"6.94"" l x 4.73"" w x 1.18""","['Fiction', 'Romance', 'Fiction', 'Thrillers']"
https://images.bookdepot.com/covers/large/isbn978006/9780063097520-l.jpg,"AFTER THE BITE (ARGENEAU NOVEL, BK. 35 - LARGE PRINT)","Sands, Lynsay",Paperback,$24.99,$4.25 $3.19,72,9780063097520,HarperLuxe,N/A,"9.06"" l x 6.08"" w x 1.10""","['Fiction', 'Romance', 'Fiction', 'Fantasy', 'Fiction', 'Thrillers']"
https://images.bookdepot.com/covers/large/isbn978006/9780063111554-l.jpg,"AFTER THE BITE (ARGENEAU, BK. 35)","Sands, Lynsay",Pocket Books,$9.99,$2.50 $1.75,779,9780063111554,Avon Books,N/A,"6.57"" l x 4.14"" w x 1.17""","['Fiction', 'Romance', 'Fiction', 'Occult', 'Fiction', 'Thrillers']"
https://images.bookdepot.com/covers/large/isbn978073/9780735241121-l.jpg,ALL I WANT FOR CHRISTMAS,"Knox, Maggie",Paperback,$14.84,$2.50 $2.37,628,9780735241121,Viking Books,N/A,"7.98"" l x 5.23"" w x 0.92""","['Fiction', 'Romance', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978059/9780593328668-l.jpg,ALL I WANT FOR CHRISTMAS,"Knox, Maggie",Paperback,$17.00,$3.00,472,9780593328668,G. P. Putnam's Sons,N/A,"8.00"" l x 5.27"" w x 0.80""","['Fiction', 'Romance', 'Fiction', 'Holidays']"
https://images.bookdepot.com/covers/large/isbn978006/9780062892676-l.jpg,ALL IT TAKES (A ROMANCING MANHATTAN NOVEL),"Proby, Kristen",Paperback,$15.99,$2.75,21,9780062892676,Avon Books,N/A,"9.25"" l x 4.87"" w x 1.14""","['Fiction', 'Romance', 'Fiction', 'Contemporary']"
https://images.bookdepot.com/covers/large/isbn978059/9780593359822-l.jpg,ALL ROADS LEAD HOME: TWO GREAT NOVELS IN ONE (A FRIEND OR TWO/REFLECTIONS OF YESTERDAY),"Macomber, Debbie",Pocket Books,$9.99,$2.50,70,9780593359822,Ballantine Books,N/A,"6.83"" l x 4.11"" w x 1.36""","['Fiction', 'Romance', 'Fiction', 'Contemporary', 'Fiction', ""Women's Fiction""]"
